Questions;Reponses
Que faire en cas de désaccord avec le montant de l’indemnité ?;Si le rapport d’expertise effectué après le sinistre que vous avez subi ne vous satisfait pas, vous avez la possibilité de recourir à une contre-expertise. Si votre contrat comprend une garantie « honoraire d’expert » nous vous rembourseront les montants engagés, dans certaines limites.
Quelles sont les démarches lors de travaux d’agrandissement ?;En cas d’agrandissement, vous avez jusqu’à 15 jours à compter de la fin des travaux pour avertir votre assureur par lettre recommandé avec accusé de réception. Dans votre courrier, veillez à bien décrire avec précision les changements effectués dans le logement.
Quel remboursement pour les biens mobiliers ?;Les biens mobiliers sont estimés en valeurs de remplacement par un bien de même caratéristique. En fonction de votre niveau de garantie, une dépreciation peut être appliquée pour tenir compte de son âge. 
 Quel remboursement pour les biens immobiliers ?;Les biens immobiliers sont estimés par un expert en valeur de reconstruction à l'identique. En fonction de l'état d'entretien de votre bien, une dépréciation peut éventuellement être calculée par un coefficient de vétusté.
Que faire en cas de déménagement ?;voir scenario 
Comment résilier en cas de déménagement ?;"Vous pouvez résilier votre contrat à sa prochaine échéance principale, rendez-vous dans la rubrique ""mes contrats"" de votre espace personnel puis cliquez sur la rubrique ""nous contacter"" afin de formuler votre demande"
Qu’est-ce que la franchise d’assurance habitation ?;Selon le contrat que vous avez souscrit, il peut être possible de modifier le niveau de votre franchise à l'échéance principale de votre contrat. Vous pouvez en faire la demande depuis votre espace personnel.
Peut-on changer de franchise ?;Selon le contrat que vous avez souscrit, il peut être possible de modifier le niveau de votre franchise à l'échéance principale de votre contrat. Vous pouvez en faire la demande depuis votre espace personnel.
Comment télécharger mon appel de cotisation  ?;"Pour télécharger votre appel de cotisation, rendez-vous dans la rubrique ""mes contrats"" de votre espace personnel puis cliquez sur la rubrique ""mes documents""."
J’aménage une nouvelle pièce que dois-je faire ?;"Vous devrez déclarer une pièce suppémentaire pour modifer votre contrat en passant par votre espace personnel, rubrique mes contrats puis cliquez sur ""nous contacter"" Il faudra nous préciser l'usage de la pièce et sa superficie. "
Comment payer ma cotisation ?;"Pour régler votre cotisation, rendez vous dans la rubrique ""mes cotisations"" de votre espace personnel puis cliquez sur la cotisation à régler."
Puis-je résilier en cas de déménagement ?;Pour résilier votre contrat en cas de déménagement, vous devez nous en faire la demande par email ou courrier, en joignant une copie de l'état des lieux de sortie, ou une copie de facture de clôture EDF.
puis-je consulter mes contrats ?;"Pour consulter vos contrats et garanties, rendez-vous dans la rubrique ""mes contrats"" de votre espace personnel "
Que faire en cas de sinistre incendie ?;"Vous devez procéder à une déclaration au plus vite. rendez-vous dans la rubrique ""mes contrats"" de votre espace personnel puis cliquez sur la rubrique ""déclarer un sinistre"""". Nous missionerons ensuite un expert en urgence pour une première visite de reconnaissance."
Comment assurer ma résidence secondaire ?;Pour assurer votre résidence secondaire, vous devez souscrire un nouveau contrat en appelant le 0 800 573 575.
Pourquoi ma cotisation a augmenté ?;Plusieurs facteurs peuvent être à l'origine d'une hausse de cotisation : augmentation de la sinistralité globale, hausse des tarifs des professionnels du bâtiment et des matières premières, ou autre... Plus globalement, votre cotisation suit l'évolution des coûts de la construction de la fédération française du bâtiment.
Comment se passe l’expertise ?;Dans les 5 jours suivant votre déclaration, l'expert vous contactera par téléphone. Lors de ce premier échange, il estimera si l'expertise peut se faire par téléphone ou bien si il doit se déplacer
 Suis-je pénalisé en cas de négligence  ?;Un sinistre dû à un acte de négligence de votre part ne sera pas pris en charge par votre assurance.
Comment consulter mon tableau de garantie / mes garanties ?;"Pour consulter votre tableau de garanties, rendez-vous dans la rubrique ""mes contrats"" de votre espace personnel puis cliquez sur la rubrique ""mes documents"""
 Puis-je avoir recour à une contre-expertise ?;Si vous considérez que la proposition de l’assurance est trop basse ou que certains éléments de mobilier n’ont pas été pris en compte, vous êtes en droit de faire appel à un « expert d’assuré » qui réalisera une contre-expertise qui sera totalement à votre charge.
 Lors de mon déménagement, comment assurer mes biens ?;Durant sa mission, la société de déménagement est responsable des dommages causés aux biens transportés par son personnel. Il en est tout autrement lorsque les dommages sont causés par d’autres personnes. Il en est ainsi dans le cas où un autre véhicule vient heurter le camion de déménagement durant le trajet. C’est alors l’assurance du véhicule fautif qui devra indemniser le propriétaire des objets transportés.
Comment modifier mon contrat/mes garanties ?;"Pour modifier vos garanties, rendez-vous dans la rubrique ""mes contrats"" de votre espace personnel puis cliquez sur la rubrique ""nous contacter"" afin de formuler votre demande. "
Comment déclarer un bris de glace habitation ?;La déclaration de sinistre doit obligatoirement être effectuée dans un délai de 5 jours après la constatation de l’incident par courrier recommandé avec accusé de réception.
Comment suivre mes sinistres ?;"Pour suivre l'état de traitement de votre sinistre, rendez vous dans la rubrique ""mes contrats"" puis cliquez sur la rubrique ""mes sinistres"""
Comment suivre mon dossier sinistre ?;"Pour suivre l'état de traitement de votre sinistre, rendez vous dans la rubrique ""mes contrats"" puis cliquez sur la rubrique ""mes sinistres"""
Suis-je couvert en cas de vol/ perte de mes clés ?;Vous êtes couvert uniquement en passant par notre serive assistance. Vous retrouverez les coordonnées dans A voir avec DIGITAL
Comment changer mon type de prélevement ?;Comment changer mon type de prélevement ?
Quelle indemnisation en cas d’accident de mon animal ?;Le contrat d'assurance animaux couvre divers soins en cas de maladie ou d'accident, par exemple les frais de consultation, d'hospitalisation, d'examen, d'intervention chirurgicale, de stérilisation ou castration.
Comment se faire rembourser les soins de vétérinaires ?;"A l’issue de chaque consultation faites remplir votre feuille de soins par votre vétérinaire puis rendez vous sur la rubrique ""mes contrats"" puis cliquez sur déclarer un sinistre en joignant votre feuille de soins et votre facture. "
Comment être remboursé de mes frais vétérinaires ?;"Nous procéderons au remboursement des frais réglés auprès de votre vétérinaire traitant selon la couverture de votre contrat;Rendez vous sur la rubrique ""mes contrats"" puis cliquez sur déclarer un sinistre en joignant votre feuille de soins et votre facture. "
Quelles sont les démarches en cas de perte d’un animal ?;En cas de perte d'un animal, vous devez en faire la déclaration auprès de l'icad. Transmettez-nous ensuite la confirmation de l'icad afin de résilier votre contrat.
Comment être remboursé de ses frais vétérinaires ?;"Nous procéderons au remboursement des frais réglés auprès de votre vétérinaire traitant selon la couverture de votre contrat;Rendez vous sur la rubrique ""mes contrats"" puis cliquez sur déclarer un sinistre en joignant votre feuille de soins et votre facture. "
  Comment résilier mon contrat ?;Vous pouvez résilier votre contrat à sa prochaine échéance principale. Vous devez en faire la demande par lettre recommandée avec accusé réception en respectant un préavis de deux mois. 
En cas de décès de mon animal, quel montant me sera indemnisé ?;"En cas de décès de votre animal, vous percevrez un capital si vous avez souscrit à l'option assurance décès. Pour en connaitre le montant, reportez vous à votre contrat en vous connectant à votre espace personnel rubrique ""mes contrats"" puis cliquez sur ""mes documents"""
 Quel remboursement en cas d’hospitalisation de mon animal ?;En cas d'hospitalisation de votre animal, Rendez-vous dans la rubrique mes contrats de votre espace personnel puis cliquez sur declarer un sisnitre. Joignez à cette déclaration votre la facture afin de vous faire rembourser dans les plus brefs délais .
 Ou envoyer la feuille de soin de son animal ?;Rendez-vous dans la rubrique mes contrats de votre espace personnel puis cliquez sur la rubrique declarer un sinistre en joignant La feuille de soins complétée par le vétérinaire ainsi que les factures acquittées
Comment remplir la feuille de soin de son animal ?;La feuille de soin comporte deux parties. Une partie à remplir par vous-même et une autre partie à compléter par le vétérinaire.
Comment retirer mes options ?;Pour retirer une option à votre contrat, rendez vous dans la rubrique mes contrats de votre espace personnel puis cliquez sur nous contacter et formule nous votre demande
Comment changer d'option ?;Pour chnger une option à votre contrat, rendez vous dans la rubrique mes contrats de votre espace personnel puis cliquez sur nous contacter et formule nous votre demande
Quelles sont mes options ?;"Pour connaitre vos options reportez vous à votre tableau de garantie dans la rubrique ""mes contrats"" de votre espace personnel puis cliquez sur ""mes documents"""
Existe-t-il une franchise pour les assurances animaux?;"Votre contrat comporte en effet une franchise que vous pouvez retrouver dans votre espace personnel, rubrique ""mes contrats"""
ma demande de remboursement ;"Pour suivre votre demande de remboursement rendez-vous directement dans la rubrique mes contrats de votre espace personnel puis cliquez sur ""mes remboursements"" "
Comment me faire rembourser l’alimentation thérapeutique ?;Selon le niveau de garanties souscrit, vous pouvre bénéficier d'une participation sur l'alimentation thérapeutique. Rendez vous dans la rubrique mes contrats de votre espace personnel puis cliquez sur declarer un sinistre et transmettez-nous les factures à la rubrique déclarer un sinistre.
Comment suivre ma demande de remboursement ?;"Pour suivre votre demande de remboursement rendez-vous directement dans la rubrique mes contrats de votre espace personnel puis cliquez sur ""mes remboursements"" "
Comment obtenir une feuille de soin ;Pour télécharger votre feuille de soin, rendez-vous dans la rubrique mes contrats de votre espace personnel puis cliquez sur mes documents, vous pourrez la télécharger et l'imprimer
 Comment télécharger ma feuille de soin ?;Pour télécharger votre feuille de soin, rendez-vous dans la rubrique mes contrats de votre espace personnel puis cliquez sur mes documents, vous pourrez la télécharger et l'imprimer
 Mon animal a eu un accident ? que dois-je faire;"En cas d'accident de votre animal vous devez declarer votre sinistre depuis votre espace personnel, rubrique mes contrats puis cliquez sur ""declarer un sinistre"""
 Est-il possible de changer de formule ?;"Vous pouvez augmenter vos garanties à la prochaine échéance de votre contrat. Vous pouvez réduire vos garanties à tout moment à partir du premier anniversaire de votre contrat. Rendez-vous dans la rubrique ""mes contrats"" de votre espace personnel puis cliquez sur ""nous contacter"" afin de formuler votre demande"
Quelles sont mes garanties ?;"Pour consulter vos garanties, rendez-vous dans la rubrique ""mes contrats"" de votre espace personnel"
En cas de dommage causé par mon animal suis-je responsable ?;votre responsabilité peut être recherché suite à des dommages causés par vos animaux.Tout dépendra de la situation et de la faute commise,  Vous devez procéder à une déclaration de sinistre en passant par votre espace personneL rubrique mes contrats puis cliquez sur déclarer un sinistre. Pensez à communiquer les coordonées de ECA ASSURANCE ainisi que votre numéro de contrat à la victime.
Comment ajouter une option à mon contrat ?;Pour ajouter une option à votre contrat, rendez-vous dans la rubrique mes contrats de votre espace personnel puis cliquez sur nous contacter et formulez nous votre demande
Comment déclarer un sinistre RC ?;"Vous devez nous transmettre une déclaration de sinistre en expliquant les faits depuis votre espace personnel, rubrique ""mes contrats"" puis cliquez sur ""déclarer un sinistre"". Pensez à communiquer les coordonées de ECA ASSURANCE ainisi que votre numéro de contrat à la victime."
Puis-je résilier si je déménage hors de France ?;Vous pouvez mettre fin à votre contrat en cas de changement de votre domicile transmettez-nous le justificatif de votre changement de situation
Comment résilier suite à la cession de mon animal ?;Vous devez en faire la déclaration auprès de l'icade qui vous remettra une attestation de transfert de propriété. Ensuite, transmettez-nous un scan de cette attestation.
Les frais de césariennes sont-ils pris en charge ?;S'agissant d'une intervention chirurgicale, les frais de césariennes sont pris en charge à ce titre.
Puis-je résilier mon contrat si mon animal a fugué ?;Vous devez nous transmettre un courrier recommandé avec accusé de réception nous résumant la situation. Nous procéderons à la résiliation de votre contrat durant le mois en cours après réception de votre courrier.      
Mon animal est-il couvert à l’étranger ?;Tout comme en France,votre animal sera couvert en cas d’accident ou de maladie. Et les frais vétérinaires seront remboursés à hauteur de la formule souscrite . Sachez Vous aurez le choix de son vétérinaire.
Les frais d’euthanasie sont-ils couverts ?;"Selon le niveau de garanties souscrit, les frais d'euthanasie peuvent être pris en charge. Connectez-vous à votre espace personnel et reportez-vous aux tableau de garanties dans la rubrique ""mes contrats"" puis cliquez sur mes documents."
Peut-on céder un contrat d’assurance pour animaux ?;Le contrat ne peut pas être cédé. Communiqué nous les coordonnées de la personne à qui vous cédez votre animal. Nous le contacterons pour établir un noueau contrat qui prendra la suite du vôtre. Votre contrat sera alors résilié.
Comment obtenir le remboursement des médicaments ?;Pour obtenir le remboursement des médicaments faites remplir votre feuille de soins par votre vétérinaire et renvoyez-nous votre feuille de soins accompagnée de la facture dans votre espace client rubrique « mes contrats » puis cliquez sur declarer un sinistre
Puis-je ajouter un animal ?;Pour ajuter un animal, pour devez réaliser un devis, rendez vous dans la rubrique acces direct de votre espace personnel puis cliquez sur nos offres.
Puis-je supprimer un animal ?;Vous pouvez arrêter d'assurer votre animal en résiliant votre contrat. à sa prochaine échéance principale. Vous devez en faire la demande par lettre recommandée avec accusé réception en respectant un préavis de deux mois. 
 Mon remboursement est en attente suite à une demande de pièce complémentaire, pourquoi ?;Un mail vous a été transmis pour vous demander les éléments complémentaires afin de traiter votre dossier. Il peut s'agir de la carte d'identification de votre animal, ou bien d'éléments médicaux demandés par notre vétérinaire.
Comment résilier mon assurance suite au décès de mon animal ?;Désolé pour la perte de votre animal. Transmettez-nous simplement un document ou une facture du vétérinaire faisant état du décès, ou encore l'attestation de l'icade à qui vous l'avez sans doute déjà déclaré.
Comment changer la date de mon prélèvement bancaire ?;La période des prélèvements pour tous nos adhérents est fixe et se réalise entre le 8 et le 10 du mois.
Pourquoi ma cotisation a augmenté ?;Votre prime est réévaluée pour chaque contrat en fonction de la hausse globale du coût des frais vétérinaires qui sont en constantes augmentations et de vos remboursements effectués sur l’année écoulée. cette augmentation peut être liée à l'âge qui fait augmenter le risque sur le contrat. Elle permet de maintenir les garanties les plus complètes.
Que faire en cas de rejet de prélevement bancaire ?;"En cas de rejet de votre prélèvement, il sera représenté dans les dix jours, sans aucune demande de votre part. Sachez que vous pouvez également vous connecter à votre espace personnel, rubrique ""mes cotisations"" puis cliquez sur la cotisation à régler."
Quel est le délai de retractation ?;Vous disposez de 14 jours après la signature du contrat auto pour vous désengager. Attention toutefois, le début de la garantie met fin au délai de rétractation.
Quelle est le délai de renonciation ?;Vous disposez de 14 jours après la signature du contrat auto pour vous désengager. Attention toutefois, le début de la garantie met fin au délai de rétractation.
Puis-je assurer un chien de 1 er ou 2 ème catégorie ?;Tous les chiens peuvent être assurés pour les frais de soin. Nous proposons également la responsabilité civile en option pour les chiens de 2ème catégorie. Vous pouvez en faire la demande depuis votre espace client.
Quel est l'age limite pour assurer son animal ?;Il n'y a aucune limite d'âge pour un animal assuré chez nous. Dès lors qu'il est entré, avant ses 13 ans, il est couvert à vie.
Jusqu’à quelles âge mon animal est-il couvert ?;Il n'y a aucune limite d'âge pour un animal assuré chez nous. Dès lors qu'il est entré, avant ses 13 ans, il est couvert à vie.
A partir de quel âge puis-je assurer mon animal ?;Votre animal peut être couvert à partir de trois mois, mais vous pouvez souscrire dès maintenant.
Puis-je assurer plusieurs animaux ?;"Pour assurer plusieurs animaux, rendez-vous dans la rubrique mes contrats de votre espace personnel puis cliquez sur la rubrique ""nous contacter"" et formuler votre demande"
La consultation du vétérinaire est-elle remboursée ?;En cas de maladie ou accident, la consultation sans hospitalisation ni opération est couverte à partir de la formule complete
Comment transmettre ces documents ?;Rendez-vous dans la rubrique mes contrats de votre espace personnel puis cliquez sur mes documents 
Comment supprimer une option ?;Pour supprimer une option, rendez-vous dans la rubrique mes contrats de votre espace personnel puis cliquez sur nous contacter et formulez nous votre demande
Comment consulter mes contrats  ?;"Rendez vous dans la rubrique ""mes contrats"" de votre espace personnel. Vous y retrouverez toues les informations relatives à votre contrat."
Les frais de vaccination sont-ils remboursés ?;Pour le vaccin, votre contrat prévoit une participation par an. Elle est de 25 ou 50 euros selon votre formule. Retrouvez le tableau de garantie dans votre espace personnel rubrique mes contrats puis cliquez sur mes documents
 Sous combien de temps serai-je remboursé ?;Dès reception de votre feuille de soin vous serez remboursé dans un délai de 72h
Les frais de puçage ou de tatouage sont-ils pris en charge ?;Votre contrat couvre les maladies et accidents, ainsi que quelques actes de prévention comme le vaccin ou la stérilisation. Les formalités obligatoires de puçage et inscription à l'icad sont à votre charge.
Puis-je assurer mon chien de sécurité ou de chasse ?;Vous pouvez assurer chez nous votre chien de sécurité ou de chasse
Quelle sont les prestations d’assistance ?;L'assistance couvre principalement l'aide à la recherche d'animal en cas de fugue, ou encore les frais de pension animalière en cas d'hospitalisation du maître
Quels sont les délais de carence ?;Les délais de carence sont de 30 jours en cas d'accident et 60 en maladie. Selon le niveau de garantie souscrit, le délai de carence en cas d'accident peut être raccourci.
La stérilisation/castration de mon animal est-elle prise en charge?;La stérilisation étant un acte de prévention, une participation financière est prévue à hauteur de 100 euros et sans carence.
Le scanner, thermographie sont-ils remboursés ?;"Reportez vous à votre tableau de garantie dans la rubrique ""mes contrats"" de votre espace personnel puis cliquez sur ""mes documents"""
 Le détartrage est-il remboursé ?;Les frais de détartrage sont pris en charge au même titre qu'une intervention chirurgicale.
Qu'est-ce qu'une feuille de soin ?;La feuille de soin est un document qui à l’issue d’une consultation doit etre rempli par le propriétaire de l'animal et le vétérinaire, ce document permet d'être remboursé à hauteur de la formule choisie et ceux dans les meilleurs délais. 
  Comment payer ma cotisation ?;"Pour régler votre cotisation, rendez vous dans la rubrique ""mes cotisations"" de votre espace personnel puis cliquez sur la cotisation à régler."
 La radiothérapie, chimiothérapie sont-ils remboursés ?;"Reportez vous à votre tableau de garantie dans la rubrique ""mes contrats"" de votre espace personnel puis cliquez sur ""mes documents"""
 Les frais de dépistage, thérapie sont-ils remboursés ?;"Reportez vous à votre tableau de garantie dans la rubrique ""mes contrats"" de votre espace personnel puis cliquez sur ""mes documents"""
Est-ce possible de faire une simulation de prise en charge ?;"Demander à votre docteur un devis détaillé et la feuille de soin en précisant le diagnostic associé et faite le nous parvenir via notre espace personnel dans la rubrique  "" mes contrats"" puis cliquez sur ""nous contacter"""
Comment télécharger ma feuille de soin?;Pour télécharger votre feuille de soin, rendez-vous dans la rubrique mes contrats de votre espace personnel puis cliquez sur mes documents, vous pourrez la télécharger et l'imprimer
Comment remplir un constat à l’amiable ?  ;"Le constat à l'amiable doit être compléter et signer avec l'autre partie en cause. 
Cochez les cases correspondant à la situation, et réaliser un shéma clair. Matériialiser le marquage au sol et l'axe médian de la chaussée.
Précisez dans quel garage vous souhaitez que votre véhicule soit visible pour organiser l'expertise. Sachez que nous pouvons vous proposer un garage agréé qui mettra un véhicule à votre disposition pendant la durée des réparations."
Comment remplir un constat lors d’un carambolage ?;En cas d'accident avec plusieurs véhicules, vous devez compléter un constat avec chaque véhicule ayant un point d'impact avec le vôtre. Par exemple, si vous êtes percuté à l'arrière et projeté dans un véhicule, vous devez compléter deux constats : un avec le véhicule de derrière, et un  un avec le véhicule de devant. Chaque constat devra précisé que vous avez été projeté.
Comment déclarer mon sinistre en ligne ?;"Pour déclarer votre sinistre, rendez-vous dans la rubrique ""mes contrats"" de votre espace personnel puis ""déclarer un sinsitre ». Vous pourrez joindre l'ensemble des éléments necessaires au traitement de votre dossier."
Comment consulter mes contrats ?;"Pour consulter toutes les informations relatives à vos contrats, rendez-vous dans la rubrique ""mes contrats""de votre espace personnel."
Comment se procurer un constat à l’amiable ?;"Pour obtenir un constat, rendez vous dans la rubrique ""mes contrats"" de votre espace personnel puis cliquez sur ""mes documents"". Vous pourrez le técharger et l'imprimer."
Comment télécharger mon appel de cotisation ?;"Pour télécharger votre appel de cotisation, rendez vous dans la rubrique ""mes contrats"" de votre espace personnel puis cliquez sur ""mes documents"""
Je pratique le covoiturage suis-je couvert ?;Dès lors où le covoiturage reste occasionnel,et que vous n'en faites pas une activité, les personnes que vous transporterez seront couvertes.
Comment consulter mes documents ?;"Pour consulter vos documents, rendez vous dans la rubrique ""mes contrats"" de votre espace personnel puis cliquez sur ""mes documents"""
Comment consulter mon contrat/ mes garanties?;"Pour consulter vos contrats et garanties, rendez vous dans la rubrique ""mes contrats"" de votre espace personnel puis cliquez sur ""mes documents"""
